Uniq Id,Crawl Timestamp,Product Url,Product Name,Description,List Price,Sale Price,Brand,Item Number,Gtin,Package Size,Category,Postal Code,Available
d190ff9b717e0e3b2d797e3ebb7f0867,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969215,clothing_size-7xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
0766bfe932851a9092292a2744890b95,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969116,clothing_size-4xl,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
9798b458283264f32535743485c5b89c,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969109,clothing_size-3xl,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
ff36d57ebd739e959559e3e07407f23a,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",887125955862,clothing_size-8xl,Clothing|Big & Tall|Mens Big & Tall Polos,,FALSE
27d9c99f9234bcc87916d9aa1a2dc2bf,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969123,clothing_size-5xl,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
cc9f62ff0aa8c943d7774afe5904a873,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969086,clothing_size-1xl,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
2f55e85c117228f4dae4bba4cab4e788,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969154,clothing_size-1xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
34e20756d526c9ef6e23ae5ca5c1c08e,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969185,clothing_size-4xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
82161a9d515b80cb3165711affb5624a,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969208,clothing_size-6xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
69786633e63bd2e23385afcdfee00858,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969161,clothing_size-2xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
